event,time,long,lat,speed,height,stage,tag
1583646927,4/7/2012 18:00,-121.6083412,38.6859989,0,30,preHatching,105930
1583651155,4/7/2012 18:00,-121.58067,38.7605,7.20216,30,preHatching,105936
1583639086,4/7/2012 19:00,-121.55717,38.6105,8.74548,100,preHatching,105923
1583646928,4/7/2012 19:00,-121.60833,38.68517,9.25992,90,preHatching,105930
1583639087,4/7/2012 20:00,-121.57567,38.61617,2.05776,70,preHatching,105923
1583646929,4/7/2012 20:00,-121.6015,38.685,8.23104,80,preHatching,105930
1583651156,4/7/2012 20:00,-121.58617,38.759,5.1444,100,preHatching,105936
1583639088,4/7/2012 21:00,-121.572,38.61,0,30,preHatching,105923
1583646930,4/7/2012 21:00,-121.604,38.68683,5.1444,60,preHatching,105930
1583639089,4/7/2012 22:00,-121.56883,38.61333,6.17328,250,preHatching,105923
1583646931,4/7/2012 22:00,-121.60317,38.68617,7.20216,30,preHatching,105930
1583651157,4/7/2012 22:00,-121.56117,38.75033,11.83212,140,preHatching,105936
1583639090,4/7/2012 23:00,-121.55833,38.611,5.65884,150,preHatching,105923
1583646932,4/7/2012 23:00,-121.60783,38.68483,7.7166,50,preHatching,105930
1583639091,4/8/2012 0:00,-121.56133,38.61017,7.20216,80,preHatching,105923
1583646933,4/8/2012 0:00,-121.60983,38.68567,0,70,preHatching,105930
1583651158,4/8/2012 0:00,-121.57167,38.76083,0.51444,30,preHatching,105936
1583639092,4/8/2012 1:00,-121.55783,38.60917,0,50,preHatching,105923
1583646934,4/8/2012 1:00,-121.604,38.685,0,30,preHatching,105930
1583639093,4/8/2012 2:00,-121.55733,38.60933,0,50,preHatching,105923
1583646935,4/8/2012 2:00,-121.6040029,38.68382152,0,30,preHatching,105930
1583651159,4/8/2012 2:00,-121.57167,38.76067,0,30,preHatching,105936
1583639094,4/8/2012 3:00,-121.55733,38.60917,0,30,preHatching,105923
1583646936,4/8/2012 3:00,-121.60783,38.68567,0,30,preHatching,105930
1583639095,4/8/2012 16:00,-121.5575,38.60883,0,30,preHatching,105923
1583646937,4/8/2012 16:00,-121.6039916,38.68382353,0,30,preHatching,105930
1583651160,4/8/2012 16:00,-121.594827,38.75850099,0,30,preHatching,105936
1583639096,4/8/2012 17:00,-121.57867,38.61117,9.25992,80,preHatching,105923
1583646938,4/8/2012 17:00,-121.607,38.68467,8.23104,70,preHatching,105930
1583639097,4/8/2012 18:00,-121.5645,38.61017,9.77436,140,preHatching,105923
1583646939,4/8/2012 18:00,-121.6040037,38.68266865,0,30,preHatching,105930
1583651161,4/8/2012 18:00,-121.594,38.75817,0,130,preHatching,105936
1583639098,4/8/2012 19:00,-121.56283,38.61017,7.7166,110,preHatching,105923
1583646940,4/8/2012 19:00,-121.6035,38.68633,8.23104,60,preHatching,105930
1583639099,4/8/2012 20:00,-121.563,38.60967,9.77436,170,preHatching,105923
1583646941,4/8/2012 20:00,-121.60767,38.685,7.20216,160,preHatching,105930
1583651162,4/8/2012 20:00,-121.57517,38.76067,7.20216,170,preHatching,105936
1583639100,4/8/2012 21:00,-121.56467,38.6095,6.68772,140,preHatching,105923
1583646942,4/8/2012 21:00,-121.606,38.68517,6.68772,140,preHatching,105930
1583646943,4/8/2012 22:00,-121.6065,38.68583,7.20216,70,preHatching,105930
1583651163,4/8/2012 22:00,-121.5845,38.75933,5.1444,130,preHatching,105936
1583646944,4/8/2012 23:00,-121.608,38.68617,7.20216,30,preHatching,105930
1583646945,4/9/2012 0:00,-121.6083303,38.68617482,0,50,preHatching,105930
1583651164,4/9/2012 0:00,-121.594,38.75783,0,30,preHatching,105936
1583646946,4/9/2012 1:00,-121.6039979,38.68266105,0,30,preHatching,105930
1583646947,4/9/2012 2:00,-121.6040001,38.68383187,0,30,preHatching,105930
1583651165,4/9/2012 2:00,-121.59433,38.7595,0,30,preHatching,105936
1583639101,4/9/2012 3:00,-121.554,38.60983,0,30,preHatching,105923
1583646948,4/9/2012 3:00,-121.61333,38.699,0,30,preHatching,105930
1583639102,4/9/2012 16:00,-121.5575068,38.60917266,0,40,preHatching,105923
1583646949,4/9/2012 16:00,-121.6040071,38.68267739,0,30,preHatching,105930
1583651166,4/9/2012 16:00,-121.5795,38.75617,0,30,preHatching,105936
1583639103,4/9/2012 17:00,-121.562,38.61183,4.62996,90,preHatching,105923
1583646950,4/9/2012 17:00,-121.60367,38.68433,0,80,preHatching,105930
1583639104,4/9/2012 18:00,-121.56,38.61033,8.23104,170,preHatching,105923
1583646951,4/9/2012 18:00,-121.6055,38.68017,8.23104,120,preHatching,105930
1583651167,4/9/2012 18:00,-121.5885,38.75867,8.23104,210,preHatching,105936
1583639105,4/9/2012 19:00,-121.5565,38.6105,16.46208,300,preHatching,105923
1583646952,4/9/2012 19:00,-121.6075,38.68533,6.68772,180,preHatching,105930
1583639106,4/9/2012 20:00,-121.56167,38.6125,6.17328,210,preHatching,105923
1583646953,4/9/2012 20:00,-121.6083224,38.68600363,0.51444,40,preHatching,105930
1583651168,4/9/2012 20:00,-121.5905,38.75817,0,30,preHatching,105936
1583639107,4/9/2012 21:00,-121.55433,38.61033,9.25992,60,preHatching,105923
1583646954,4/9/2012 21:00,-121.609,38.68517,6.17328,170,preHatching,105930
1583639108,4/9/2012 22:00,-121.5705,38.60867,9.25992,240,preHatching,105923
1583646955,4/9/2012 22:00,-121.60333,38.68367,6.17328,30,preHatching,105930
1583651169,4/9/2012 22:00,-121.59467,38.7535,6.68772,490,preHatching,105936
1583639109,4/9/2012 23:00,-121.55317,38.6075,4.62996,160,preHatching,105923
